"node_id","variable","n","prediction","is_leaf","split_value","improve","subgroup","rule"
4,"<leaf>",31,-0.603018927324896,TRUE,NA,NA,"G1","diagtime>=4.5 & karno< 55"
5,"<leaf>",45,-0.518136677912212,TRUE,NA,NA,"G2","diagtime>=4.5 & karno>=55"
3,"<leaf>",61,-0.4299088927888,TRUE,NA,NA,"G3","diagtime< 4.5"
1,"diagtime",137,-0.498059705936044,FALSE,14.5,0.644736842105263,NA,NA
1,"diagtime",137,-0.498059705936044,FALSE,4.5,0.344438593516943,NA,NA
1,"diagtime",137,-0.498059705936044,FALSE,9.5,0.0205959944892721,NA,NA
2,"karno",76,-0.552759700698964,FALSE,65,0.20995372762453,NA,NA
2,"karno",76,-0.552759700698964,FALSE,55,0.266028143158505,NA,NA
2,"karno",76,-0.552759700698964,FALSE,82.5,0.591240875912409,NA,NA
