"subgroup","rule","n","effect_mean","effect_low","effect_high"
"G1","south66< 0.5 & meducation>=10.12 & kww< 30.5",121,-0.315660612579003,-3.19013386391528,2.55881263875727
"G3","south66< 0.5 & meducation< 10.12 & education66>=10.5",174,0.271661150658573,0.196103327609223,0.347218973707923
