"subgroup","rule","n","effect_mean","effect_low","effect_high"
"G1","pgr>=4.069 & er>=4.256 & age>=46.5",260,0.716365469964395,0.678903432359568,0.753827507569222
"G4","pgr>=4.069 & er< 4.256 & age< 47.5",667,0.585775183934116,0.569505012124416,0.602045355743816
"G5","pgr< 4.069 & er>=2.862 & age>=47.5",156,0.799140697733698,0.751724640804603,0.846556754662792
"G7","pgr< 4.069 & er< 2.862 & size< 0.5",312,0.721094817093132,0.693605181973649,0.748584452212614
"G8","pgr< 4.069 & er< 2.862 & size>=0.5",488,0.959127712052364,0.935188404572843,0.983067019531885
